ප්‍රතික්ෂේප,prathikshepa
ඇයගේ,eyage
වෙනසක්,wenasak
වුණත්,wunath
කියනවා,kiyanawa
මණ්ඩලයේ,mandalaye
තැනැත්තා,theneththa
ඇසූ,esu
පරීක්ෂා,pareeksha
තුල,thula
තද,thada
අති,athi
මරණ,marana
සංඝයා,sanghaya
වශයෙනි,washayeni
දෙනෙත්,deneth
ලැබෙන්නේ,lebenne
තනි,thani
අවසර,awasara
උප,upa
ඉක්බිති,ikbithi
සම,sama
කුල,kula
සියුම්,siyum
පවත්වන,pawathwana
එරෙහි,erehi
බැඳ,benda
පරිගණක,pariganaka
මේසය,mesaya
ඉන්නෙ,inne
රාජ,raja
පැය,peya
ඉති,ithi
අංශයේ,anshaye
ලබයි,labayi
අලි,ali
යැ,ye
මහතාට,mahathata
කෙතරම්,ketharam
පහන්,pahan
වේගයෙන්,wegayen
රාත්‍රී,rathree
ඕ,o
රු,ru
මින්,min
නාට්‍ය,natya
මහත්තයා,mahaththaya
පදිංචි,padinchi
දෙන්නේ,denne
අන්තර්,anthar
බෙහෙත්,beheth
සර්,sar
ව්‍යාපාරය,wyaparaya
යුද්ධය,yuddhaya
විසූ,wisu
දොස්,dos
ගැනීමෙන්,geneemen
රජතුමා,rajathuma
ආයතනයේ,ayathanaye
ගත්ත,gaththa
ඔක්කොම,okkoma
කෙනෙකුට,kenekuta
බිම්,bim
උගත්,ugath
හේ,he
පවසන,pawasana
මාර්ගයේ,margaye
එවකට,ewakata
අනිත්,anith
ආදායම්,adayam
අධ්‍යයන,adhyayana
කෑ,ke
යමින්,yamin
තුන,thuna
උපකරණ,upakarana
සිද්ධිය,siddhiya
වචනය,wachanaya
සිරිත්,sirith
ලැබුණේ,lebune
බ්‍රිතාන්‍ය,brithanya
පැවිදි,pewidi
පවුලේ,pawule
ජනාධිපතිවරයා,janadhipathiwaraya
නියෝජනය,niyojanaya
මුස්ලිම්,muslim
ප්‍රතිකාර,prathikara
කාලීන,kaleena
සිදුවිය,siduwiya
දිගටම,digatama
ඔන්න,onna
කෘති,kthi
වැය,weya
කරනව,karanawa
සුවඳ,suwanda
තියෙන්නේ,thiyenne
කිව්ව,kiwwa
කා,ka
ඇට,eta
සාමය,samaya
මෙලෙස,melesa
භාරතීය,bharatheeya
තුවාල,thuwala
පරිවර්තනය,pariwarthanaya
අවශ්‍යතා,awashyatha
සාෂා,sasha
සංඝ,sangha
දිව,diwa
කරවා,karawa
කඳු,kandu
සම්පූර්ණයෙන්,sampurnayen
සංඛ්‍යාව,sankyawa
නැතහොත්,nethahoth
දන්නෙ,danne
සම්මත,sammatha
සති,sathi
විතරක්,witharak
ලී,lee
අහිමි,ahimi
සේක,seka
බලාගෙන,balagena
දරු,daru
කොටගෙන,kotagena
ඇතිවන,ethiwana
හෙයිනි,heyini
හැඟීම,hengeema
වෙළඳ,welanda
යෑම,yema
බිරිඳ,birinda
දරන,darana
ගඩොල්,gadol
උත්තර,uththara
ලැබිණ,lebina
පොරොන්දු,porondu
සල්ලි,salli
කමක්,kamak
වගේම,wagema
රථ,ratha
බැංකුව,benkuwa
පුද්ගල,pudgala
නොකරන,nokarana
කීවාය,keewaya
වාදය,wadaya
ජනප්‍රිය,janapriya
ගම,gama
දෑ,de
ගීත,geetha
කෘතිය,kthiya
උඹට,umbata
හැරී,heree
පිරිමි,pirimi
පෙන්නුම්,pennum
පදනම,padanama
දෙකකට,dekakata
රූපය,rupaya
සමන්විත,samanwitha
දරුණු,darunu
කිරීමේදී,kireemedee
ඒකට,ekata
කවුද,kawuda
කඩ,kada
අංශය,anshaya
එළිය,eliya
උපයෝගී,upayogee
දෙමින්,demin
කෙළවර,kelawara
කරවන,karawana
අත්අඩංගුවට,athadanguwata
අක්ෂර,akshara
හින්දු,hindu
එකල්හි,ekalhi
බය,baya
මත්,math
දිසානායක,disanayaka
එමෙන්,emen
හුඟක්,hungak
ලිපිය,lipiya
මඳ,manda
කාන්තාවන්,kanthawan
නැතැයි,netheyi
දන්නවා,dannawa
වර්ණනා,warnana
සේවක,sewaka
වටිනා,watina
පාවිච්චි,pawichchi
කිරීමක්,kireemak
වෘත්තීය,wththeeya
පුවත්පත්,puwathpath
නාගරික,nagarika
කීම,keema
ගෙදරට,gedarata
වර්ෂ,warsha
පැතිර,pethira
දිනය,dinaya
මී,mee
අපහසු,apahasu
නෙමෙයි,nemeyi
මුහුදු,muhudu
පරිසර,parisara
තරමට,tharamata
නිරූපණය,nirupanaya
දත්,dath
ඝාතනය,ghathanaya
කවියා,kawiya
පවසති,pawasathi
නිදසුන්,nidasun
සංවිධාන,sanwidhana
පිටත්,pitath
වෙත්,weth
වැන්න,wenna
බණ්ඩාර,bandara
දහස්,dahas
ඊයේ,eeye
ආරක්ෂාව,arakshawa
වැසි,wesi
පස්සේ,passe
ආවා,awa
දුන්නේය,dunneya
ගැටලු,getalu
කළාය,kalaya
මැයි,meyi
පැවැත්ම,pewethma
උස,usa
කුමක්ද,kumakda
සමහරු,samaharu
නිසාම,nisama
ආර්ය,arya
සහකාර,sahakara
වෙන්නේ,wenne
වග,waga
ලියූ,liyu
කිරීම්,kireem
සවස,sawasa
හිටිය,hitiya
ශිෂ්‍ය,shishya
බැලීමට,beleemata
දිගින්,digin
නෙවෙයි,neweyi
කරමි,karami
දන්නේ,danne
පිය,piya
අට,ata
යකඩ,yakada
කරගත,karagatha
සලකන,salakana
මළ,mala
ආසන්න,asanna
පොලිසිය,polisiya
බස,basa
සහතික,sahathika
කරමු,karamu
සැම,sema
කරුණ,karuna
එදින,edina
නොහැකිය,nohekiya
කෙළේය,keleya
ඉදි,idi
අලංකාර,alankara
ස්වභාව,swabhawa
තැපැල්,thepel
සිටීමට,siteemata
මහත්මිය,mahathmiya
උදා,uda
අයිතිය,ayithiya
පූර්ණ,purna
ගමට,gamata
නිමල්,nimal
සියවසේ,siyawase
තහනම්,thahanam
සංගමයේ,sangamaye
පෙරදිග,peradiga
පුදුම,puduma
තැනක,thenaka
සිතේ,sithe
රටක,rataka
දරා,dara
හිරු,hiru
ආයුෂ්මත්,ayushmath
ගෙවල්,gewal
අවස්ථාවක,awasthawaka
වහන්සේලා,wahansela
පැවැත්වීමට,pewethweemata
නැඟී,nengee
යුදෙව්,yudew
පිටත,pitatha
ජී,jee
කරුණා,karuna
සෙන්,sen
බාර,bara
භාජනය,bhajanaya
ශරීරය,shareeraya
වෙලාවට,welawata
පරීක්ෂණ,pareekshana
රාජපක්ෂ,rajapaksha
මනුෂ්‍ය,manushya
ඒවාට,ewata
දළදා,dalada
ගොඩනැගිලි,godanegili
කවදාවත්,kawadawath
ඡන්දය,chandaya
වහන්ස,wahansa
ලෙසත්,lesath
නැතිනම්,nethinam
ඇතුළත,ethulatha
එක්ව,ekwa
හිටියා,hitiya
ප්‍රදර්ශනය,pradarshanaya
එතුමා,ethuma
වීය,weeya
ප්‍රවෘත්ති,prawththi
පරිච්ඡේදය,parichchedaya
කීමට,keemata
ඉස්සර,issara
වහල්,wahal
පිරිස්,piris
දැනුවත්,denuwath
චරිතය,charithaya
කෙලෙස්,keles
කුරුණෑගල,kurunegala
හරිම,harima
සූත්‍රය,suthraya
පිටු,pitu
පහසුවෙන්,pahasuwen
සම්ප්‍රදාය,sampradaya
පාලි,pali
ඉක්මනින්,ikmanin
මොනවා,monawa
දිහා,diha
ගන්නවා,gannawa
උචිත,uchitha
ඇමැතිවරයා,emethiwaraya
ප්‍රතිඵලයක්,prathipalayak
දෙ,de
අනාගත,anagatha
සුව,suwa
වර්ණ,warna
ග්‍රාමීය,grameeya
අවස්ථාවල,awasthawala
සමීප,sameepa
සංගමය,sangamaya
ජෝන්,jon
රැක,reka
අමතර,amathara
විමුක්ති,wimukthi
ලැබිණි,lebini
දන්වා,danwa
අන්දමට,andamata
කිරීමත්,kireemath
ව්‍යවස්ථාව,wyawasthawa
අමාත්‍ය,amathya
වෙනස,wenasa
එච්,ech
අන්න,anna
වරද,warada
පිහිටුවා,pihituwa
බලයට,balayata
නිශ්චිත,nishchitha
අනුමත,anumatha
මට්ටමේ,mattame
නොහොත්,nohoth
කුමාර,kumara
පරාජය,parajaya
ජීවිතයට,jeewithayata
අර්ථය,arthaya
පරණ,parana
ළඟා,langa
සිනා,sina
වත්මන්,wathman
යුගය,yugaya
ඉතිහාසයේ,ithihasaye
භාවනාව,bhawanawa
තරග,tharaga
කිරිමට,kirimata
හුස්ම,husma
පුරුෂ,purusha
චින්තන,chinthana
ඊළඟට,eelangata
ආණ්ඩුවේ,anduwe
හෙළ,hela
සම්බන්ධව,sambandhawa
කාමරයට,kamarayata
කණ්ඩායම,kandayama
සපයා,sapaya
ව්‍යාපාර,wyapara
මෙනි,meni
මාත්,math
තරමක්,tharamak
අදහසක්,adahasak
හසු,hasu
සම්පාදනය,sampadanaya
ව්‍යවහාර,wyawahara
කින්,kin
උපරිම,uparima
පවසා,pawasa
කිරීමටත්,kireematath
ලැබීය,lebeeya
මෙහෙම,mehema
ගැටුම්,getum
වේලාවක්,welawak
වේදනා,wedana
පැහැති,pehethi
කාන්තා,kantha
ඔසවා,osawa
වට,wata
බණ,bana
උස්,us
ප්‍රකාශයට,prakashayata
පණ,pana
කඳුළු,kandulu
එසමයෙහි,esamayehi
අග,aga
විටෙක,witeka
මෙකී,mekee
පිළිගත්,piligath
ඉන්නව,innawa
වගකීම,wagakeema
මැටි,meti
පාට,pata
යුද්ධ,yuddha
ප්‍රසිද්ධ,prasiddha
දිගේ,dige
මොකක්ද,mokakda
දුරු,duru
කුඹුරු,kumburu
විධි,widhi
බාල,bala
දස,dasa
ලස්සන,lassana
තැනට,thenata
කැබලි,kebali
උපකාර,upakara
යෙදෙන,yedena
බැලීම,beleema
දමන,damana
එල්,el
ස්වාධීන,swadheena
වරදක්,waradak
අතීත,atheetha
සිතිය,sithiya
සාධාරණ,sadharana
ශික්ෂාපදය,shikshapadaya
ඉදින්,idin
මොවුන්,mowun
දැක්වීම,dekweema
ඔහුව,ohuwa
සිදුවූ,siduwu
මෙහෙ,mehe
හැකියාවක්,hekiyawak
වෙනස්කම්,wenaskam
දඬුවම්,danduwam
හමුදාව,hamudawa
පත්තර,paththara
තැත්,theth
එමගින්,emagin
සේනානායක,senanayaka
සමාගමේ,samagame
කිහිප,kihipa
ඇසුරු,esuru
පෙරමුණ,peramuna
ඉන්පසු,inpasu
ඉකුත්,ikuth
මාළු,malu
මාරු,maru
හදිසි,hadisi
පමණකි,pamanaki
කරපු,karapu
ළමයි,lamayi
එහෙනම්,ehenam
අයිති,ayithi
හැකියි,hekiyi
රැඳී,rendee
සතුට,sathuta
රාජකාරි,rajakari
පැවැත්වේ,pewethwe
දායක,dayaka
සිරුර,sirura
ලිංගික,lingika
තිබු,thibu
අනුභව,anubhawa
විරුද්ධව,wiruddhawa
විචාර,wichara
විග්‍රහ,wigraha
අවබෝධයක්,awabodhayak
විරෝධී,wirodhee
අනිත්‍ය,anithya
ස්වාභාවික,swabhawika
රජයට,rajayata
සිවුරු,siwuru
සමාජයට,samajayata
වැලි,weli
සම්බන්ධතා,sambandhatha
පිළිබිඹු,pilibimbu
දළ,dala
අපරාධ,aparadha
හඬින්,handin
සිදුවී,siduwee
පිරී,piree
අහිගුණ්ඨික,ahiguntika
පීටර්,peetar
තත්ත්වයන්,thaththwayan
විදුලිය,widuliya
නිම,nima
කළත්,kalath
හටගත්,hatagath
නමුදු,namudu
ජයග්‍රහණය,jayagrahanaya
ආපහු,apahu
පවරා,pawara
දෙවෙනි,deweni
දැමීම,demeema
ආශ්‍රිත,ashritha
නායකත්වය,nayakathwaya
කැමැති,kemethi
ස්ථිර,sthira
එකේ,eke
සියයට,siyayata
කෘෂිකර්ම,kshikarma
කිරීමයි,kireemayi
වාර්තාව,warthawa
වර්තමානයේ,warthamanaye
දක්ෂ,daksha
මන්ද,manda
ශුද්ධ,shuddha
යනව,yanawa
දත්ත,daththa
වනවිට,wanawita
දිගට,digata
එන්නේ,enne
පහක්,pahak
පස,pasa
ගොදුරු,goduru
නමක්,namak
සිතමි,sithami
කර්ම,karma
ස්වරූපය,swarupaya
ලෙසට,lesata
තැනින්,thenin
හැඟීමක්,hengeemak
අතුරින්,athurin
අතිශයින්,athishayin
ස්ථානයේ,sthanaye
සදහා,sadaha
ලබාගත,labagatha
ගැනත්,genath
ලවා,lawa
පැවැත්වෙන,pewethwena
හැබැයි,hebeyi
කීවෙමි,keewemi
සිසුන්,sisun
සඳ,sanda
පහ,paha
නිලධාරි,niladhari
දෙනකු,denaku
වෙහෙස,wehesa
ආකාරයේ,akaraye
වූත්,wuth
මධ්‍ය,madhya
හිඳ,hinda
දෙනවා,denawa
ගෙට,geta
ගනියි,ganiyi
වසන,wasana
විදේශීය,widesheeya
නුවණින්,nuwanin
නවීන,naweena
ව්‍යාප්ත,wyaptha
පීඩා,peeda
පින්,pin
දිනවල,dinawala
චිත්ත,chiththa
අධිකරණ,adhikarana
හානි,hani
වර්ගය,wargaya
කරදර,karadara
වස්තුව,wasthuwa
මුලින්ම,mulinma
භූමිය,bhumiya
කාර්යාලය,karyalaya
සංකීර්ණ,sankeerna
දරුවන්ට,daruwanta
තියුණු,thiyunu
ඉක්මවා,ikmawa
සමගම,samagama
වැඩිය,wediya
රාජකීය,rajakeeya
දැමීමට,demeemata
තවද,thawada
කිය,kiya
වෙසක්,wesak
සහිතව,sahithawa
දෙකම,dekama
දුර්වල,durwala
කාරක,karaka
ඉංගිරිසි,ingirisi
අතේ,athe
මෙකල,mekala
හොඳම,hondama
සියළු,siyalu
සිතෙහි,sithehi
සෑහෙන,sehena
උඩරට,udarata
මොනවද,monawada
වීමත්,weemath
වැටුප්,wetup
නොහැක,noheka
නෙත්,neth
සිරි,siri
කාමරය,kamaraya
මොහොතේ,mohothe
දවස්,dawas
අණ,ana
වෙසෙන,wesena
පාරේ,pare
සටහන,satahana
ඉන්දියානු,indiyanu
බැඳී,bendee
නඩු,nadu
ඡායාරූපය,chayarupaya
රෝගය,rogaya
කැපී,kepee
විශේෂයෙන්ම,wisheshayenma
ප්‍රනාන්දු,pranandu
එවන්,ewan
වල්,wal
නගා,naga
දෙන්නට,dennata
අතීතයේ,atheethaye
න්,n
ගෙයි,geyi
කෙසේද,keseda
කාලයේදී,kalayedee
සෙමින්,semin
අප්‍රේල්,aprel
රහස්,rahas
නේ,ne
හැඳින්විය,hendinwiya
ප්‍රතිමා,prathima
කොච්චර,kochchara
කැප,kepa
වේවි,wewi
නා,na
කීප,keepa
හිතේ,hithe
සහයෝගය,sahayogaya
ගාල්ල,galla
සිටිනවා,sitinawa
සන්ධාන,sandhana
පිළිතුර,pilithura
නගරයට,nagarayata
කවුරුත්,kawuruth
ක්‍රියාවලිය,kriyawaliya
ශ්‍රේෂ්ඨ,shreshta
යන්නෙ,yanne
දක්වයි,dakwayi
තබන,thabana
සබඳතා,sabandatha
පන්ති,panthi
තවම,thawama
කරන්නා,karanna
සෝවියට්,sowiyat
වස්,was
හය,haya
සැමියා,semiya
සැකයක්,sekayak
සංකල්ප,sankalpa
මෙන්න,menna
බරපතල,barapathala
රිදී,ridee
පරම,parama
දැක්වේ,dekwe
ස,sa
බලපෑම්,balapem
කුණු,kunu
කෘෂි,kshi
ක්‍රි,kri
කලෙක,kaleka
ආණ්ඩුක්‍රම,andukrama
අනුබල,anubala
වර්ගයේ,wargaye
ලැබීමට,lebeemata
දිසා,disa
නිහඬ,nihanda
නිවසේ,niwase
ජයවර්ධන,jayawardhana
සපයන,sapayana
වේවා,wewa
ආගම්,agam
අන්දමින්,andamin
හිටියෙ,hitiye
ස්ථානයක්,sthanayak
මනාව,manawa
කාර්මික,karmika
ආසන,asana
අරවින්ද,arawinda
අතු,athu
සිතුවම්,sithuwam
පූර්ව,purwa
අනාපතති,anapathathi
වෙනි,weni
පෝෂණය,poshanaya
ඇලිසන්,elisan
සරත්,sarath
වැදගත්කම,wedagathkama
රටක්,ratak
ප්‍රචලිත,prachalitha
මිනිහා,miniha
නිකාය,nikaya
වෙතින්,wethin
ව්‍යාපෘතිය,wyapthiya
මිශ්‍ර,mishra
අක්කර,akkara
මෙවන්,mewan
මනස,manasa
මගෙන්,magen
මංගල,mangala
අවි,awi
හුදෙක්,hudek
මුදල,mudala
මත්පැන්,mathpen
ලැබුවේ,lebuwe
පාර්ලිමේන්තුවේ,parlimenthuwe
දෙකක,dekaka
කැමැත්ත,kemeththa
ශ්‍රමණ,shramana
වුයේ,wuye
කිසිවකු,kisiwaku
මැනවින්,menawin
පෙරළා,perala
පුරාවිද්‍යා,purawidya
නොමැතිව,nomethiwa
ගියහ,giyaha
කටයුතුවල,katayuthuwala
සිදුහත්,siduhath
වුවහොත්,wuwahoth
යන්ට,yanta
ඇත්තේය,eththeya
සුවිශේෂ,suwishesha
සිටම,sitama
වූයේය,wuyeya
දිනක්,dinak
ඩබ්ලිව්,dabliw
කෙරිණි,kerini
බිමට,bimata
පුද,puda
කරණ,karana
ඉන්නේ,inne
අභ්‍යන්තර,abhyanthara
වැඩියෙන්,wediyen
අතුරු,athuru
හතරක්,hatharak
සංවිධානයේ,sanwidhanaye
දේශපාලනය,deshapalanaya
තාක්ෂණය,thakshanaya
ඊළඟ,eelanga
ආණ්ඩුවට,anduwata
භූමි,bhumi
ඉතිහාස,ithihasa
සභාවට,sabhawata
විධිමත්,widhimath
නිවසට,niwasata
අත්‍යවශ්‍ය,athyawashya
වුවමනා,wuwamana
බලපෑම,balapema
කාර්යයන්,karyayan
අයිතිවාසිකම්,ayithiwasikam
යුරෝපීය,yuropeeya
මිලදී,miladee
පිළිගත,piligatha
ඉහළින්,ihalin
ඉවත,iwatha
ඉන්දියාව,indiyawa
හදවත,hadawatha
විතර,withara
මෙනෙහි,menehi
අරන්,aran
ලිපියක්,lipiyak
ජාති,jathi
වැටෙන,wetena
කාන්තාව,kanthawa
කර්තෘ,karth
ස්වය,swaya
දුටුවේ,dutuwe
අඳුරු,anduru
ළමයින්,lamayin
එනවා,enawa
අමරසේකර,amarasekara
විටම,witama
යටි,yati
මොහු,mohu
නොයෙකුත්,noyekuth
ස්ත්‍රී,sthree
මොනව,monawa
මිනිසුන්ගේ,minisunge
කන,kana
උත්සව,uthsawa
ජීව,jeewa
කතාවක්,kathawak
ඔව්හු,owhu
සමිති,samithi
ලබාදීමට,labadeemata
නන්දා,nanda
සිහිපත්,sihipath
වූවාය,wuwaya
ඇත්තෝ,eththo
සිද්ධ,siddha
වෙමි,wemi
අත්සන්,athsan
හිමියන්ගේ,himiyange
සිතන,sithana
රූ,ru
මිනිසාගේ,minisage
බුද්ධිය,buddhiya
පොසොන්,poson
ගීතය,geethaya
අඩංගු,adangu
මටත්,matath
බෝම්බ,bomba
දුප්පත්,duppath
ආචාර,achara
වැව,wewa
ස්ථාවර,sthawara
යන්ත්‍ර,yanthra
එහා,eha
අනුමාන,anumana
විධායක,widhayaka
ඵල,pala
දෙනාම,denama
ගෙවා,gewa
බාධා,badha
පිහිට,pihita
ජනයාගේ,janayage
ගඟ,ganga
සතුටින්,sathutin
පළමුව,palamuwa
දහසක්,dahasak
අන්‍ය,anya
ගොඩක්,godak
අයගේ,ayage
විශිෂ්ට,wishishta
අහිගුණ්ඨිකයන්,ahiguntikayan
අකුරු,akuru
කාරණා,karana
සේවයේ,sewaye
සිදුවේ,siduwe
වරට,warata
ලියුම්,liyum
පහළට,pahalata
නිසාත්,nisath
නායකයන්,nayakayan
තදින්,thadin
තණ,thana
ඥානය,gnanaya
සෙල්ලම්,sellam
භික්ෂුන්,bhikshun
බමුණු,bamunu
පාලක,palaka
දෙකේ,deke
තමන්ගෙ,thamange
අයියා,ayiya
සාමාජික,samajika
යත,yatha
මොකක්,mokak
නිල්,nil
හාමුදුරුවන්,hamuduruwan
විභාග,wibhaga
නිතරම,nitharama
දවසක,dawasaka
හැඩ,heda
සාම්ප්‍රදායික,sampradayika
වාගේ,wage
මිලට,milata
තිබුණෙ,thibune
හම්බ,hamba
සංගීත,sangeetha
බීම,beema
හොඳටම,hondatama
මැතිවරණය,methiwaranaya
පුළුවනි,puluwani
පුවත්,puwath
දැරූ,deru
එකිනෙකට,ekinekata
රෝහලේ,rohale
ආදායම,adayama
සාක්ෂි,sakshi
මරණින්,maranin
ප්‍රයෝජන,prayojana
නිසයි,nisayi
කෝටි,koti
ඇදී,edee
අරුත්,aruth
අපූරු,apuru
හෙළා,hela
ස්වභාවික,swabhawika
යටින්,yatin
හැඳින්වෙන,hendinwena
මෝටර්,motar
චින්තනය,chinthanaya
කැරෙන,kerena
හද,hada
සූත්‍ර,suthra
රථය,rathaya
පසුගියදා,pasugiyada
ඇත්,eth
සැතපුම්,sethapum
ලක්ෂණය,lakshanaya
නොකර,nokara
උපත,upatha
මාතලේ,mathale
බැලිය,beliya
පොදුවේ,poduwe
කන්,kan
සම්බන්ධය,sambandhaya
බ,ba
සිදුවන්නේ,siduwanne
සන්ධානය,sandhanaya
බලයක්,balayak
දෙකට,dekata
ඇත්තටම,eththatama
වදන්,wadan
මාර්තු,marthu
මහලු,mahalu
ග්‍රාම,grama
සරණ,sarana
වන්,wan
කළෙමි,kalemi
ඔහුගෙන්,ohugen
කැඳවා,kendawa
කායික,kayika
අමුතු,amuthu
පානය,panaya
සුනිල්,sunil
සංඥා,sangna
විවේචනය,wiwechanaya
ශාන්ත,shantha
මණ්ඩල,mandala
හඳුන්වන,handunwana
වැව්,wew
බඳුන්,bandun
පිටතට,pitathata
නිවස,niwasa
නිරීක්ෂණය,nireekshanaya
ජීවිතයක්,jeewithayak
ජීවත්වන,jeewathwana
හම්බන්තොට,hambanthota
වාද,wada
පත,patha
ගෙය,geya
පදය,padaya
දුරකථන,durakathana
ද්‍රවිඩ,drawida
හරවා,harawa
ස්වාමීන්,swameen
ලෙඩ,leda
උත්සවය,uthsawaya
දකින්නට,dakinnata
කිව්වෙ,kiwwe
කන්න,kanna
උඩින්,udin
අරාබි,arabi
වූවක්,wuwak
විපාක,wipaka
ප්‍රතිඵලය,prathipalaya
දර්ශන,darshana
ගන්නව,gannawa
කර්මාන්තය,karmanthaya
එයි,eyi
එකිනෙකා,ekineka
අවස්ථාවට,awasthawata
එළඹ,elamba
අමාත්‍යාංශය,amathyanshaya
රජුට,rajuta
දෙති,dethi
ඒමට,emata
මිනිහෙක්,minihek
ප්‍රමුඛ,pramuka
සත්,sath
වශයෙන්ම,washayenma
පන්තියේ,panthiye
වැටුණු,wetunu
පාචිතතිය,pachithathiya
ඇඟිලි,engili
තැබූ,thebu
ජනාධිපතිනිය,janadhipathiniya
උදාහරණයක්,udaharanayak
වරින්,warin
කාලෙ,kale
තතු,thathu
උඩු,udu
පටු,patu
ග්‍රන්ථය,granthaya
ක්‍රිකට්,krikat
අතරට,atharata
වර්ෂයේ,warshaye
රීති,reethi
මධ්‍යස්ථානය,madhyasthanaya
පවසන්නේ,pawasanne
ඉවර,iwara
අවුල්,awul
මමත්,mamath
නිගමනය,nigamanaya
කතාබහ,kathabaha
එරට,erata
නොවීම,noweema
කෙස්,kes
අන්තර්ගත,anthargatha
සුබ,suba
සැපයීම,sepayeema
රනිල්,ranil
පද්ධතිය,paddhathiya
නික්ම,nikma
නැටුම්,netum
කාම,kama
කවුරු,kawuru
විරෝධය,wirodhaya
මිනිසුන්ට,minisunta
වසයෙන්,wasayen
කියවා,kiyawa
කතරගම,katharagama
අතරම,atharama
මුව,muwa
පාහේ,pahe
පන,pana
ඇත්නම්,ethnam
ආරාධනා,aradhana
හිතට,hithata
සාහිත්‍යයේ,sahithyaye
දැමූ,demu
ජේ,je
කරුණකි,karunaki
කරනුයේ,karanuye
ආවරණය,awaranaya
පොළොව,polowa
දෙයකි,deyaki
ඉඳල,indala
ආර්ථිකය,arthikaya
අවබෝධය,awabodhaya
සනාථ,sanatha
පැත්තේ,peththe
ප,pa
අවදි,awadi
පුවත,puwatha
පැහැදිලිව,pehediliwa
තුළදී,thuladee
ක්‍රමයට,kramayata
කණ්ඩායමක්,kandayamak
නාමය,namaya
කියමි,kiyami
පොතක්,pothak
පිටින්,pitin
ධීවර,dheewara
දෙපාර්තමේන්තුව,departhamenthuwa
පැමිණිලි,peminili
දිනපතා,dinapatha
ජොනතන්,jonathan
කාලයක,kalayaka
ඉමහත්,imahath
ලාංකික,lankika
ලබාදීම,labadeema
රහිත,rahitha
බදුල්ල,badulla
පිටුව,pituwa
පරිපාලන,paripalana
ගොඩනැගිල්ල,godanegilla
ගෘහ,gha
භයානක,bhayanaka
පැමිණීම,pemineema
දොස්තර,dosthara
ගනිති,ganithi
සිටියි,sitiyi
පැවත,pewatha
උනන්දු,unandu
අරබයා,arabaya
වෙල්ලස්සේ,wellasse
වෙනම,wenama
ලක්දිව,lakdiwa
පවතින්නේ,pawathinne
ජාතිය,jathiya
උරුමය,urumaya
සතුව,sathuwa
වූවකි,wuwaki
ලෞකික,laukika
දැනටමත්,denatamath
උණ,una
ආහාරය,aharaya
සිහින්,sihin
මරණයට,maranayata
පත්‍ර,pathra
නෝනා,nona
ආයුධ,ayudha
දානය,danaya
ඉවතට,iwathata
අහස,ahasa
පවුල,pawula
ගුණය,gunaya
ගලවා,galawa
ඉහළට,ihalata
සිටියදී,sitiyadee
රුසියානු,rusiyanu
යෝජනාව,yojanawa
මෑත,metha
පාර්ලිමේන්තුව,parlimenthuwa
ඇඟ,enga
තරුණයා,tharunaya
එකයි,ekayi
සියල්ලම,siyallama
සතියේ,sathiye
වැසී,wesee
බැංකුවේ,benkuwe
නැගිට,negita
යථාර්ථය,yatharthaya
කියනව,kiyanawa
කවදා,kawada
කරගැනීමට,karageneemata
ඔවුන්ගෙන්,owungen
උඩට,udata
අවස්ථාවේදී,awasthawedee
සිතූ,sithu
යන්නයි,yannayi
භික්ෂුවක්,bhikshuwak
තීරණ,theerana
සලසා,salasa
රචිත,rachitha
මුද්‍රණය,mudranaya
භාවිතය,bhawithaya
නඟා,nanga
කෝ,ko
එජාපය,ejapaya
හාමුදුරුවෝ,hamuduruwo
සන්සුන්,sansun
භික්ෂූහු,bhikshuhu
ඈත්,eth
හුරු,huru
පචිති,pachithi
ඇස,esa
මිලියන,miliyana
දිනා,dina
තාක්,thak
කවරේද,kawareda
උඹේ,umbe
මාසයේ,masaye
නිසැක,niseka
ජා,ja
කාමරයේ,kamaraye
වැඩේ,wede
අවශ්‍යතාව,awashyathawa
රැස්වීම,resweema
ප්‍රහාර,prahara
ප්‍රදේශයට,pradeshayata
ඉදිකිරීම්,idikireem
විනිශ්චය,winishchaya
ළමයා,lamaya
සේවාව,sewawa
සිතුවිලි,sithuwili
ප්‍රකාශන,prakashana
නවතා,nawatha
කාලයට,kalayata
එපමණක්,epamanak
රඳවා,randawa
බේරා,bera
ව්‍යාපෘති,wyapthi
ව්‍යවස්ථා,wyawastha
ආයුර්වේද,ayurweda
සත්ව,sathwa
ලබාගෙන,labagena
බැලූ,belu
බලමින්,balamin
දැවැන්ත,dewentha
කියාය,kiyaya
අත්පත්,athpath
බලමු,balamu
පොහොර,pohora
දැක්වීමට,dekweemata
ගොයම්,goyam
ආශ්‍රිතව,ashrithawa
අවංක,awanka
සිදුව,siduwa
මඩ,mada
ජනක,janaka
කම්,kam
වැඳ,wenda
දන්නව,dannawa
ගිවිසුම,giwisuma
කාව්‍යය,kawyaya
ඉස්මතු,ismathu
සෙන්ටි,senti
යහපත,yahapatha
බ්‍රාහ්මණ,brahmana
බසින්,basin
ගුණවර්ධන,gunawardhana
කර්මය,karmaya
ආරංචි,aranchi
ශක්තියක්,shakthiyak
ප්‍රජාතන්ත්‍රවාදී,prajathanthrawadee
දැනුමක්,denumak
තෙරුන්,therun
ඇසී,esee
වීමි,weemi
මිසිස්,misis
